contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
PFE250613C00012000,2025-06-11 18:09:20+00:00,12.0,12.52,12.2,12.5,0.07000065,0.5622542,2.0,2,3.843750390625,True,REGULAR,USD,call,2025-06-13
PFE250613C00013000,2025-06-03 13:32:43+00:00,13.0,10.15,10.6,12.25,0.0,0.0,,1,6.656251679687501,True,REGULAR,USD,call,2025-06-13
PFE250613C00015000,2025-06-09 15:20:34+00:00,15.0,8.74,9.35,9.45,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00016000,2025-06-09 15:20:34+00:00,16.0,8.65,8.35,8.45,0.70999956,8.9420595,1.0,20,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00017000,2025-06-09 14:08:56+00:00,17.0,6.85,7.35,7.55,0.0,0.0,1.0,1,2.44531638671875,True,REGULAR,USD,call,2025-06-13
PFE250613C00018000,2025-06-09 13:34:30+00:00,18.0,5.7,6.35,6.4,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00018500,2025-06-09 13:31:44+00:00,18.5,5.15,5.85,5.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00019000,2025-06-11 18:17:58+00:00,19.0,5.37,5.35,5.55,0.059999943,1.1299424,10.0,28,1.8125009374999999,True,REGULAR,USD,call,2025-06-13
PFE250613C00020000,2025-06-11 18:19:04+00:00,20.0,4.38,4.35,4.45,0.07999992,1.8604633,6.0,10,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00021000,2025-06-11 18:18:20+00:00,21.0,3.4,3.35,3.45,0.94000006,38.211384,6.0,75,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00021500,2025-06-10 16:48:42+00:00,21.5,2.96,2.81,2.92,0.0,0.0,1.0,9,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00022000,2025-06-11 13:32:28+00:00,22.0,2.49,2.37,2.44,0.109999895,4.6218443,4.0,1234,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00022500,2025-06-11 18:28:59+00:00,22.5,1.9,1.89,1.93,0.0,0.0,6.0,115,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00023000,2025-06-11 18:05:42+00:00,23.0,1.45,1.39,1.43,0.05000007,3.5714338,90.0,1483,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PFE250613C00023500,2025-06-11 18:39:46+00:00,23.5,0.96,0.92,0.96,0.06999999,7.8651676,762.0,5874,0.22657023437499998,True,REGULAR,USD,call,2025-06-13
PFE250613C00024000,2025-06-11 19:26:09+00:00,24.0,0.52,0.51,0.53,0.029999971,6.249994,964.0,20315,0.2695385546875,True,REGULAR,USD,call,2025-06-13
PFE250613C00024500,2025-06-11 19:26:29+00:00,24.5,0.19,0.19,0.2,-0.019999996,-9.523808,2188.0,13868,0.2500075,False,REGULAR,USD,call,2025-06-13
PFE250613C00025000,2025-06-11 19:14:33+00:00,25.0,0.04,0.04,0.05,-0.02,-33.333336,1709.0,10772,0.2500075,False,REGULAR,USD,call,2025-06-13
PFE250613C00025500,2025-06-11 19:25:07+00:00,25.5,0.01,0.01,0.02,0.0,0.0,1949.0,1950,0.304694453125,False,REGULAR,USD,call,2025-06-13
PFE250613C00026000,2025-06-11 17:40:21+00:00,26.0,0.01,0.0,0.01,0.0,0.0,192.0,2075,0.35938140625,False,REGULAR,USD,call,2025-06-13
PFE250613C00026500,2025-06-09 13:54:21+00:00,26.5,0.01,0.0,0.01,0.0,0.0,1.0,66,0.45313046875,False,REGULAR,USD,call,2025-06-13
PFE250613C00027000,2025-06-10 19:42:35+00:00,27.0,0.01,0.0,0.01,0.0,0.0,2.0,258,0.500005,False,REGULAR,USD,call,2025-06-13
PFE250613C00028000,2025-05-21 13:30:06+00:00,28.0,0.02,0.0,0.01,0.0,0.0,2.0,9,0.6250037500000001,False,REGULAR,USD,call,2025-06-13
PFE250613C00029000,2025-05-30 14:00:16+00:00,29.0,0.01,0.0,0.01,0.0,0.0,2.0,1,0.7812521875,False,REGULAR,USD,call,2025-06-13
PFE250613C00030000,2025-05-28 13:30:08+00:00,30.0,0.01,0.0,0.01,0.0,0.0,5.0,15,0.9062509375,False,REGULAR,USD,call,2025-06-13
PFE250613C00034000,2025-06-09 14:23:03+00:00,34.0,0.01,0.0,0.01,0.0,0.0,22.0,72,1.3750031249999999,False,REGULAR,USD,call,2025-06-13
PFE250613P00013000,2025-05-30 19:50:00+00:00,13.0,0.01,0.0,0.02,0.0,0.0,1.0,0,2.81250296875,False,REGULAR,USD,put,2025-06-13
PFE250613P00014000,2025-05-12 14:09:51+00:00,14.0,0.03,0.0,0.01,0.0,0.0,,63,2.3750040624999995,False,REGULAR,USD,put,2025-06-13
PFE250613P00015000,2025-06-03 15:10:16+00:00,15.0,0.01,0.0,0.01,0.0,0.0,3.0,0,2.0625048437499998,False,REGULAR,USD,put,2025-06-13
PFE250613P00016000,2025-05-19 17:48:51+00:00,16.0,0.03,0.0,0.01,0.0,0.0,,5,1.8125009374999999,False,REGULAR,USD,put,2025-06-13
PFE250613P00017000,2025-06-06 19:56:20+00:00,17.0,0.02,0.0,0.01,0.0,0.0,18.0,15,1.5625021874999998,False,REGULAR,USD,put,2025-06-13
PFE250613P00018000,2025-06-06 14:34:44+00:00,18.0,0.03,0.0,0.01,0.0,0.0,1.0,211,1.3750031249999999,False,REGULAR,USD,put,2025-06-13
PFE250613P00018500,2025-06-10 16:19:53+00:00,18.5,0.01,0.0,0.01,0.0,0.0,2.0,2,1.2500037499999999,False,REGULAR,USD,put,2025-06-13
PFE250613P00019000,2025-06-10 15:39:43+00:00,19.0,0.01,0.0,0.01,0.0,0.0,9.0,306,1.125004375,False,REGULAR,USD,put,2025-06-13
PFE250613P00019500,2025-06-06 13:35:39+00:00,19.5,0.02,0.0,0.01,0.0,0.0,5.0,51,1.0312548437500002,False,REGULAR,USD,put,2025-06-13
PFE250613P00020000,2025-06-10 16:05:15+00:00,20.0,0.01,0.0,0.01,0.0,0.0,1.0,503,0.937500625,False,REGULAR,USD,put,2025-06-13
PFE250613P00020500,2025-06-10 18:21:49+00:00,20.5,0.01,0.0,0.01,0.0,0.0,2.0,250,0.8125018749999999,False,REGULAR,USD,put,2025-06-13
PFE250613P00021000,2025-06-10 18:51:28+00:00,21.0,0.01,0.0,0.01,0.0,0.0,13.0,856,0.7187528125,False,REGULAR,USD,put,2025-06-13
PFE250613P00021500,2025-06-11 14:42:18+00:00,21.5,0.01,0.0,0.01,0.0,0.0,20.0,682,0.6250037500000001,False,REGULAR,USD,put,2025-06-13
PFE250613P00022000,2025-06-11 18:02:23+00:00,22.0,0.01,0.0,0.01,0.0,0.0,75.0,1501,0.5312546875,False,REGULAR,USD,put,2025-06-13
PFE250613P00022500,2025-06-11 18:00:32+00:00,22.5,0.01,0.01,0.02,0.0,0.0,166.0,1681,0.507817421875,False,REGULAR,USD,put,2025-06-13
PFE250613P00023000,2025-06-11 19:23:18+00:00,23.0,0.02,0.02,0.03,-0.01,-33.333336,385.0,5986,0.45703667968750006,False,REGULAR,USD,put,2025-06-13
PFE250613P00023500,2025-06-11 19:17:45+00:00,23.5,0.05,0.03,0.05,-0.009999998,-16.666662,299.0,3857,0.3789124609375,False,REGULAR,USD,put,2025-06-13
PFE250613P00024000,2025-06-11 19:17:47+00:00,24.0,0.1,0.11,0.12,-0.07,-41.17647,1283.0,2780,0.33399103515625,False,REGULAR,USD,put,2025-06-13
PFE250613P00024500,2025-06-11 19:10:40+00:00,24.5,0.3,0.28,0.31,-0.089999974,-23.076916,587.0,930,0.3242255078124999,True,REGULAR,USD,put,2025-06-13
PFE250613P00025000,2025-06-11 19:20:23+00:00,25.0,0.65,0.65,0.68,-0.09000003,-12.162168,260.0,404,0.38086556640624997,True,REGULAR,USD,put,2025-06-13
PFE250613P00025500,2025-06-11 18:12:09+00:00,25.5,1.07,1.1,1.21,-1.07,-50.0,12.0,5,0.5019581054687501,True,REGULAR,USD,put,2025-06-13
PFE250613P00026000,2025-06-11 18:17:58+00:00,26.0,1.62,1.57,1.65,-0.08000004,-4.7058845,6.0,23,0.5468795312500001,True,REGULAR,USD,put,2025-06-13
PFE250613P00026500,2025-06-10 19:10:10+00:00,26.5,2.08,1.97,2.14,-0.06000018,-2.8037467,5.0,7,0.7382838671874999,True,REGULAR,USD,put,2025-06-13
PFE250613P00027000,2025-06-11 18:19:04+00:00,27.0,2.6,2.59,2.65,-0.10000014,-3.703709,6.0,35,0.804689453125,True,REGULAR,USD,put,2025-06-13
PFE250613P00028000,2025-06-11 18:18:20+00:00,28.0,3.59,3.45,3.65,-1.4600003,-28.910896,6.0,0,0.6250037500000001,True,REGULAR,USD,put,2025-06-13
PFE250613P00029000,2025-05-30 15:34:18+00:00,29.0,5.5,4.5,4.65,0.0,0.0,2.0,4,1.015629921875,True,REGULAR,USD,put,2025-06-13
PFE250613P00030000,2025-06-09 13:31:44+00:00,30.0,6.35,5.6,5.65,0.0,0.0,2.0,2,1.40625296875,True,REGULAR,USD,put,2025-06-13
PFE250613P00032000,2025-06-09 13:31:44+00:00,32.0,8.35,7.55,7.75,0.0,0.0,8.0,8,1.8359383203124997,True,REGULAR,USD,put,2025-06-13
PFE250620C00012000,2025-06-11 13:30:04+00:00,12.0,12.2,12.0,13.25,1.0,8.928572,1.0,22,2.6718783203125005,True,REGULAR,USD,call,2025-06-20
PFE250620C00013000,2025-06-09 13:31:44+00:00,13.0,10.65,11.35,12.15,0.0,0.0,59.0,59,2.7382844042968753,True,REGULAR,USD,call,2025-06-20
PFE250620C00014000,2025-05-08 19:57:54+00:00,14.0,9.15,9.35,9.4,0.0,0.0,370.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
PFE250620C00015000,2025-06-06 19:47:27+00:00,15.0,8.39,9.35,10.1,0.0,0.0,28.0,79,2.1679733300781248,True,REGULAR,USD,call,2025-06-20
PFE250620C00016000,2025-05-14 14:25:52+00:00,16.0,6.45,8.35,8.8,0.0,0.0,2.0,7,1.5976582617187498,True,REGULAR,USD,call,2025-06-20
PFE250620C00017000,2025-06-04 15:24:36+00:00,17.0,6.5,7.35,8.0,0.0,0.0,5.0,11,1.62109564453125,True,REGULAR,USD,call,2025-06-20
PFE250620C00018000,2025-06-11 15:43:52+00:00,18.0,6.58,6.3,6.45,1.1100001,20.29251,10.0,118,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
PFE250620C00018500,2025-05-22 18:09:30+00:00,18.5,4.68,5.85,5.95,0.0,0.0,,19,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
PFE250620C00019000,2025-06-06 13:30:03+00:00,19.0,4.3,5.35,5.55,0.0,0.0,7.0,81,0.992187578125,True,REGULAR,USD,call,2025-06-20
PFE250620C00019500,2025-05-29 13:31:54+00:00,19.5,3.95,4.85,5.55,0.0,0.0,8.0,9,1.16016044921875,True,REGULAR,USD,call,2025-06-20
PFE250620C00020000,2025-06-11 18:18:00+00:00,20.0,4.4,4.35,4.45,-0.049999714,-1.1235892,44.0,1612,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
PFE250620C00020500,2025-05-22 14:38:53+00:00,20.5,2.66,3.9,4.8,0.0,0.0,,1,1.138676181640625,True,REGULAR,USD,call,2025-06-20
PFE250620C00021000,2025-06-10 19:09:30+00:00,21.0,3.4,3.4,3.5,0.0,0.0,101.0,2905,0.5625043750000001,True,REGULAR,USD,call,2025-06-20
PFE250620C00021500,2025-06-10 15:01:58+00:00,21.5,2.85,2.91,2.97,0.0,0.0,1.0,229,0.398443515625,True,REGULAR,USD,call,2025-06-20
PFE250620C00022000,2025-06-11 18:33:36+00:00,22.0,2.45,2.42,2.72,0.049999952,2.0833313,27.0,8796,0.53320779296875,True,REGULAR,USD,call,2025-06-20
PFE250620C00022500,2025-06-11 15:32:27+00:00,22.5,2.15,1.94,2.13,0.2700001,14.361708,8.0,322,0.51562984375,True,REGULAR,USD,call,2025-06-20
PFE250620C00023000,2025-06-11 19:26:40+00:00,23.0,1.49,1.45,1.5,0.060000062,4.195809,186.0,20466,0.27735097656249996,True,REGULAR,USD,call,2025-06-20
PFE250620C00023500,2025-06-11 18:28:59+00:00,23.5,1.01,1.01,1.03,-0.029999971,-2.8846128,234.0,8845,0.23633576171874998,True,REGULAR,USD,call,2025-06-20
PFE250620C00024000,2025-06-11 19:17:50+00:00,24.0,0.65,0.63,0.66,0.01999998,3.1746001,1003.0,17583,0.24414818359375,True,REGULAR,USD,call,2025-06-20
PFE250620C00024500,2025-06-11 19:27:16+00:00,24.5,0.35,0.34,0.35,-0.02000001,-5.405408,1924.0,9569,0.2304764453125,False,REGULAR,USD,call,2025-06-20
PFE250620C00025000,2025-06-11 19:26:27+00:00,25.0,0.16,0.15,0.16,-0.010000005,-5.8823557,5479.0,113856,0.22657023437499998,False,REGULAR,USD,call,2025-06-20
PFE250620C00025500,2025-06-11 18:58:47+00:00,25.5,0.07,0.06,0.08,0.0,0.0,576.0,4249,0.2461012890625,False,REGULAR,USD,call,2025-06-20
PFE250620C00026000,2025-06-11 18:57:04+00:00,26.0,0.04,0.02,0.04,0.0,0.0,312.0,28973,0.26367923828125,False,REGULAR,USD,call,2025-06-20
PFE250620C00026500,2025-06-11 17:17:34+00:00,26.5,0.02,0.01,0.03,0.01,100.0,108.0,657,0.304694453125,False,REGULAR,USD,call,2025-06-20
PFE250620C00027000,2025-06-11 18:49:35+00:00,27.0,0.01,0.01,0.02,0.0,0.0,1238.0,35183,0.3320379296875,False,REGULAR,USD,call,2025-06-20
PFE250620C00028000,2025-06-11 16:52:03+00:00,28.0,0.01,0.0,0.01,0.0,0.0,7.0,49007,0.38281867187499996,False,REGULAR,USD,call,2025-06-20
PFE250620C00029000,2025-06-11 18:34:19+00:00,29.0,0.01,0.0,0.01,0.0,0.0,53.0,14458,0.4687553125,False,REGULAR,USD,call,2025-06-20
PFE250620C00030000,2025-06-11 15:48:14+00:00,30.0,0.01,0.0,0.01,0.0,0.0,126.0,56552,0.500005,False,REGULAR,USD,call,2025-06-20
PFE250620C00031000,2025-06-05 19:49:43+00:00,31.0,0.02,0.0,0.01,0.0,0.0,1.0,5070,0.5625043750000001,False,REGULAR,USD,call,2025-06-20
PFE250620C00032000,2025-06-11 15:40:57+00:00,32.0,0.01,0.0,0.01,0.0,0.0,19.0,11041,0.6250037500000001,False,REGULAR,USD,call,2025-06-20
PFE250620C00033000,2025-06-10 17:41:01+00:00,33.0,0.01,0.0,0.01,0.0,0.0,6.0,2948,0.6875031250000001,False,REGULAR,USD,call,2025-06-20
PFE250620C00034000,2025-05-30 19:48:43+00:00,34.0,0.01,0.0,0.01,0.0,0.0,205.0,3479,0.7500025,False,REGULAR,USD,call,2025-06-20
PFE250620C00035000,2025-06-10 16:22:37+00:00,35.0,0.01,0.0,0.01,0.0,0.0,18.0,34609,0.8125018749999999,False,REGULAR,USD,call,2025-06-20
PFE250620C00036000,2025-06-10 16:17:51+00:00,36.0,0.01,0.0,0.01,0.0,0.0,5.0,112,0.87500125,False,REGULAR,USD,call,2025-06-20
PFE250620C00037000,2025-06-09 19:03:26+00:00,37.0,0.01,0.0,0.01,0.0,0.0,30.0,7730,0.937500625,False,REGULAR,USD,call,2025-06-20
PFE250620C00038000,2025-04-29 17:02:10+00:00,38.0,0.01,0.0,0.02,0.0,0.0,4.0,6,1.0625046875000002,False,REGULAR,USD,call,2025-06-20
PFE250620C00039000,2025-05-08 19:27:22+00:00,39.0,0.01,0.0,0.3,0.0,0.0,3.0,12,1.6484392578125,False,REGULAR,USD,call,2025-06-20
PFE250620C00040000,2025-05-30 13:30:15+00:00,40.0,0.01,0.0,0.01,0.0,0.0,2.0,21236,1.0625046875000002,False,REGULAR,USD,call,2025-06-20
PFE250620C00041000,2025-04-25 15:41:34+00:00,41.0,0.01,0.0,0.23,0.0,0.0,1.0,46,1.6992202539062502,False,REGULAR,USD,call,2025-06-20
PFE250620C00042000,2025-05-28 15:01:54+00:00,42.0,0.01,0.0,0.01,0.0,0.0,12.0,3694,1.1875040625,False,REGULAR,USD,call,2025-06-20
PFE250620C00043000,2025-05-08 13:33:22+00:00,43.0,0.01,0.0,0.02,0.0,0.0,1.0,130,1.3125034374999998,False,REGULAR,USD,call,2025-06-20
PFE250620C00044000,2025-04-28 13:48:51+00:00,44.0,0.01,0.0,0.02,0.0,0.0,2.0,17,1.3437532812499997,False,REGULAR,USD,call,2025-06-20
PFE250620C00045000,2025-06-04 15:24:36+00:00,45.0,0.01,0.0,0.01,0.0,0.0,5.0,6116,1.3125034374999998,False,REGULAR,USD,call,2025-06-20
PFE250620P00012000,2025-05-16 15:39:09+00:00,12.0,0.01,0.0,0.01,0.0,0.0,50.0,426,1.625001875,False,REGULAR,USD,put,2025-06-20
PFE250620P00013000,2025-05-01 19:37:50+00:00,13.0,0.01,0.0,0.02,0.0,0.0,2.0,789,1.5625021874999998,False,REGULAR,USD,put,2025-06-20
PFE250620P00014000,2025-05-23 16:40:00+00:00,14.0,0.01,0.0,0.01,0.0,0.0,200.0,5991,1.2500037499999999,False,REGULAR,USD,put,2025-06-20
PFE250620P00015000,2025-06-06 13:48:19+00:00,15.0,0.01,0.0,0.01,0.0,0.0,5.0,4883,1.125004375,False,REGULAR,USD,put,2025-06-20
PFE250620P00016000,2025-06-09 19:47:45+00:00,16.0,0.01,0.0,0.02,0.0,0.0,4.0,255,1.0625046875000002,False,REGULAR,USD,put,2025-06-20
PFE250620P00017000,2025-06-06 19:58:09+00:00,17.0,0.01,0.0,0.01,0.0,0.0,1.0,965,0.87500125,False,REGULAR,USD,put,2025-06-20
PFE250620P00018000,2025-06-11 13:33:31+00:00,18.0,0.01,0.0,0.01,0.0,0.0,6.0,8367,0.7500025,False,REGULAR,USD,put,2025-06-20
PFE250620P00018500,2025-06-10 16:19:53+00:00,18.5,0.02,0.0,0.01,0.0,0.0,2.0,6,0.6875031250000001,False,REGULAR,USD,put,2025-06-20
PFE250620P00019000,2025-06-10 17:03:25+00:00,19.0,0.02,0.0,0.01,0.0,0.0,73.0,2373,0.6250037500000001,False,REGULAR,USD,put,2025-06-20
PFE250620P00019500,2025-06-11 19:19:41+00:00,19.5,0.01,0.0,0.01,-0.01,-50.0,70.0,156,0.5625043750000001,False,REGULAR,USD,put,2025-06-20
PFE250620P00020000,2025-06-11 19:19:41+00:00,20.0,0.02,0.01,0.02,0.01,100.0,440.0,22641,0.585941640625,False,REGULAR,USD,put,2025-06-20
PFE250620P00020500,2025-06-10 18:51:24+00:00,20.5,0.02,0.01,0.12,0.0,0.0,1.0,352,0.6835969140625001,False,REGULAR,USD,put,2025-06-20
PFE250620P00021000,2025-06-11 16:58:52+00:00,21.0,0.02,0.01,0.03,0.0,0.0,1717.0,34339,0.5195360546875,False,REGULAR,USD,put,2025-06-20
PFE250620P00021500,2025-06-11 19:22:49+00:00,21.5,0.02,0.02,0.03,-0.01,-33.333336,121.0,513,0.45313046875,False,REGULAR,USD,put,2025-06-20
PFE250620P00022000,2025-06-11 19:00:47+00:00,22.0,0.03,0.02,0.04,-0.020000001,-40.000004,77.0,30832,0.4101621484375,False,REGULAR,USD,put,2025-06-20
PFE250620P00022500,2025-06-11 19:11:06+00:00,22.5,0.05,0.04,0.05,0.0,0.0,86.0,3136,0.35742830078125,False,REGULAR,USD,put,2025-06-20
PFE250620P00023000,2025-06-11 19:26:09+00:00,23.0,0.06,0.06,0.07,-0.040000003,-36.36364,787.0,75940,0.31250687499999996,False,REGULAR,USD,put,2025-06-20
PFE250620P00023500,2025-06-11 19:21:51+00:00,23.5,0.11,0.11,0.12,-0.060000002,-35.294117,2662.0,7561,0.27930408203124996,False,REGULAR,USD,put,2025-06-20
PFE250620P00024000,2025-06-11 19:20:57+00:00,24.0,0.22,0.22,0.23,-0.08000001,-26.666668,1405.0,14301,0.2617261328125,False,REGULAR,USD,put,2025-06-20
PFE250620P00024500,2025-06-11 19:25:15+00:00,24.5,0.42,0.42,0.44,-0.09,-17.647058,532.0,182,0.257819921875,True,REGULAR,USD,put,2025-06-20
PFE250620P00025000,2025-06-11 19:16:46+00:00,25.0,0.73,0.73,0.76,-0.120000005,-14.117646,683.0,50730,0.26563234375,True,REGULAR,USD,put,2025-06-20
PFE250620P00025500,2025-06-11 14:43:28+00:00,25.5,1.0,1.15,1.19,-0.25,-20.0,101.0,68,0.30664755859375,True,REGULAR,USD,put,2025-06-20
PFE250620P00026000,2025-06-11 18:38:26+00:00,26.0,1.63,1.6,1.91,-0.00999999,-0.6097555,51.0,13298,0.5664105859375,True,REGULAR,USD,put,2025-06-20
PFE250620P00026500,2025-06-04 15:22:11+00:00,26.5,3.0,2.01,2.28,0.0,0.0,1.0,0,0.5449264257812501,True,REGULAR,USD,put,2025-06-20
PFE250620P00027000,2025-06-09 13:35:03+00:00,27.0,3.3,2.55,2.64,0.0,0.0,11.0,1840,0.4687553125,True,REGULAR,USD,put,2025-06-20
PFE250620P00028000,2025-06-10 16:06:45+00:00,28.0,3.6,3.6,3.65,-0.11000013,-2.9649632,2.0,2017,0.5625043750000001,True,REGULAR,USD,put,2025-06-20
PFE250620P00029000,2025-06-10 13:31:11+00:00,29.0,4.95,4.4,4.65,0.0,0.0,2.0,53,0.7148466015625,True,REGULAR,USD,put,2025-06-20
PFE250620P00030000,2025-06-10 17:55:14+00:00,30.0,5.61,5.4,5.65,0.0,0.0,1.0,39,0.8164080859374999,True,REGULAR,USD,put,2025-06-20
PFE250620P00031000,2025-05-05 14:42:49+00:00,31.0,7.35,7.45,7.55,0.0,0.0,1.0,0,1.7753917480468748,True,REGULAR,USD,put,2025-06-20
PFE250620P00032000,2025-05-09 13:40:49+00:00,32.0,9.45,8.6,8.7,0.0,0.0,11.0,5,2.0185596411132813,True,REGULAR,USD,put,2025-06-20
PFE250620P00033000,2025-05-12 19:24:31+00:00,33.0,10.0,8.55,9.25,0.0,0.0,49.0,2,1.4628933105468749,True,REGULAR,USD,put,2025-06-20
PFE250620P00034000,2025-05-19 16:43:19+00:00,34.0,11.1,9.6,9.65,0.0,0.0,2.0,2,1.1171919140625,True,REGULAR,USD,put,2025-06-20
PFE250620P00035000,2025-06-03 13:32:56+00:00,35.0,11.9,10.6,10.65,0.0,0.0,4.0,4,1.1953165234375,True,REGULAR,USD,put,2025-06-20
PFE250620P00036000,2025-05-12 14:06:16+00:00,36.0,12.75,11.35,11.45,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-06-20
PFE250620P00037000,2025-06-09 13:32:55+00:00,37.0,13.35,12.55,13.65,0.0,0.0,5.0,0,2.0625048437499998,True,REGULAR,USD,put,2025-06-20
PFE250620P00038000,2025-04-03 13:51:54+00:00,38.0,13.65,13.4,14.25,0.0,0.0,,5,1.8046884765624998,True,REGULAR,USD,put,2025-06-20
PFE250620P00039000,2025-05-28 13:32:37+00:00,39.0,15.5,14.55,15.7,0.0,0.0,1.0,0,2.259769975585937,True,REGULAR,USD,put,2025-06-20
PFE250620P00040000,2025-06-09 13:31:44+00:00,40.0,16.35,15.6,15.65,0.0,0.0,5.0,16,1.5390648046875,True,REGULAR,USD,put,2025-06-20
PFE250620P00041000,2025-04-10 13:37:00+00:00,41.0,19.35,18.65,18.75,0.0,0.0,,1,3.741211584472657,True,REGULAR,USD,put,2025-06-20
PFE250620P00042000,2025-05-28 13:32:37+00:00,42.0,18.5,17.55,18.5,0.0,0.0,1.0,0,2.3750040624999995,True,REGULAR,USD,put,2025-06-20
PFE250620P00043000,2025-05-28 13:32:37+00:00,43.0,19.5,18.6,19.15,0.0,0.0,1.0,1,2.2382856542968748,True,REGULAR,USD,put,2025-06-20
PFE250620P00044000,2025-05-13 13:32:57+00:00,44.0,21.25,19.6,19.65,0.0,0.0,,1,1.7734386328124998,True,REGULAR,USD,put,2025-06-20
PFE250620P00045000,2025-05-28 13:32:37+00:00,45.0,21.5,20.55,21.2,0.0,0.0,1.0,1,2.3671915820312495,True,REGULAR,USD,put,2025-06-20
PFE250627C00012000,2025-06-09 14:03:12+00:00,12.0,11.9,12.35,12.5,0.0,0.0,1.0,4,1.6171894140625,True,REGULAR,USD,call,2025-06-27
PFE250627C00015000,2025-05-27 14:13:40+00:00,15.0,8.45,9.3,9.45,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-27
PFE250627C00016000,2025-06-09 17:34:24+00:00,16.0,8.15,8.4,8.65,0.0,0.0,13.0,13,1.1015669921875002,True,REGULAR,USD,call,2025-06-27
PFE250627C00018000,2025-05-20 14:22:38+00:00,18.0,5.68,6.35,6.5,0.0,0.0,,8,0.773439765625,True,REGULAR,USD,call,2025-06-27
PFE250627C00019000,2025-06-09 13:36:28+00:00,19.0,4.9,5.4,5.5,0.0,0.0,4.0,3,0.6562534375000001,True,REGULAR,USD,call,2025-06-27
